Date,URL,m3u8_url
2023-10-20,https://www.adminmonitor.com/tx/puct/open_meeting/20231020/,https://dj13yv2opnszq.cloudfront.net/videos/am_2878_Open_Meeting_2023_10_20_auto1_1741073941_Ld7giM/master.m3u8
2023-10-12,https://www.adminmonitor.com/tx/puct/open_meeting/20231012/,https://dj13yv2opnszq.cloudfront.net/videos/am_2869_Open_Meeting_2023_10_12_auto1_1741075742_iyZ2HA/master.m3u8
2023-09-28,https://www.adminmonitor.com/tx/puct/open_meeting/20230928/,https://dj13yv2opnszq.cloudfront.net/videos/am_2847_Open_Meeting_2023_09_28_auto1_1741059541_akzsrN/master.m3u8
2023-09-14,https://www.adminmonitor.com/tx/puct/open_meeting/20230914/,https://dj13yv2opnszq.cloudfront.net/videos/am_2845_Open_Meeting_2023_09_14_auto1_1741066925_hZX0CR/master.m3u8
2023-08-24,https://www.adminmonitor.com/tx/puct/open_meeting/20230824/,https://dj13yv2opnszq.cloudfront.net/videos/am_2822_Open_Meeting_2023_08_24_auto1_1741056122_hAAlg6/master.m3u8
2023-08-03,https://www.adminmonitor.com/tx/puct/open_meeting/20230803/,https://dj13yv2opnszq.cloudfront.net/videos/am_2821_Open_Meeting_2023_08_03_auto1_1741057741_d6KXjs/master.m3u8
2023-07-20,https://www.adminmonitor.com/tx/puct/open_meeting/20230720/,https://dj13yv2opnszq.cloudfront.net/videos/am_2819_Open_Meeting_2023_07_20_auto1_1741062784_C7g0oX/master.m3u8
2023-06-29,https://www.adminmonitor.com/tx/puct/open_meeting/20230629/,https://dj13yv2opnszq.cloudfront.net/videos/am_2783_Open_Meeting_2023_06_29_auto1_1741061641_HAQbeS/master.m3u8
2023-06-15,https://www.adminmonitor.com/tx/puct/open_meeting/20230615/,https://dj13yv2opnszq.cloudfront.net/videos/am_2782_Open_Meeting_2023_06_15_auto1_1741051982_gmXYKI/master.m3u8
2023-05-25,https://www.adminmonitor.com/tx/puct/open_meeting/20230525/,https://dj13yv2opnszq.cloudfront.net/videos/am_2756_Open_Meeting_2023_05_25_auto1_1741046643_bdmLJ0/master.m3u8
2023-04-27,https://www.adminmonitor.com/tx/puct/open_meeting/20230427/,https://dj13yv2opnszq.cloudfront.net/videos/am_2742_Open_Meeting_2023_04_27_auto1_1741044781_BPt3o5/master.m3u8
2023-04-06,https://www.adminmonitor.com/tx/puct/open_meeting/20230406/,https://dj13yv2opnszq.cloudfront.net/videos/am_2741_Open_Meeting_2023_04_06_auto1_1741037042_P4DkaI/master.m3u8
2023-03-23,https://www.adminmonitor.com/tx/puct/open_meeting/20230323/,https://dj13yv2opnszq.cloudfront.net/videos/am_2723_Open_Meeting_2023_03_23_auto1_1741034941_Q8kPLY/master.m3u8
2023-03-09,https://www.adminmonitor.com/tx/puct/open_meeting/20230309/,https://dj13yv2opnszq.cloudfront.net/videos/am_2721_Open_Meeting_2023_03_09_auto1_1741030442_QjiV4d/master.m3u8
2023-02-16,https://www.adminmonitor.com/tx/puct/open_meeting/20230216/,https://dj13yv2opnszq.cloudfront.net/videos/am_2709_Open_Meeting_2023_02_16_auto1_1741030381_1qpqpr/master.m3u8
2023-01-26,https://www.adminmonitor.com/tx/puct/open_meeting/20230126/,https://dj13yv2opnszq.cloudfront.net/videos/am_2668_Open_Meeting_2023_01_26_auto1_1741026121_Vi9Y2U/master.m3u8
2023-01-12,https://www.adminmonitor.com/tx/puct/open_meeting/20230112/,https://dj13yv2opnszq.cloudfront.net/videos/am_2671_Open_Meeting_2023_01_12_auto1_1740417663_vAKN6Q/master.m3u8
2022-12-15,https://www.adminmonitor.com/tx/puct/open_meeting/20221215/,https://dj13yv2opnszq.cloudfront.net/videos/am_2528_Open_Meeting_2022_12_15_auto1_1740417063_rtaWyS/master.m3u8
2022-11-30,https://www.adminmonitor.com/tx/puct/open_meeting/20221130/,https://dj13yv2opnszq.cloudfront.net/videos/am_2646_Open_Meeting_2022_11_30_auto1_1741017662_aHPOcK/master.m3u8
2022-11-03,https://www.adminmonitor.com/tx/puct/open_meeting/20221103/,https://dj13yv2opnszq.cloudfront.net/videos/am_2527_Open_Meeting_2022_11_03_auto1_1741012624_eb3kwL/master.m3u8
2022-10-20,https://www.adminmonitor.com/tx/puct/open_meeting/20221020/,https://dj13yv2opnszq.cloudfront.net/videos/am_2526_Open_Meeting_2022_10_20_auto1_1741014781_kWg3Fr/master.m3u8
2022-10-06,https://www.adminmonitor.com/tx/puct/open_meeting/20221006/,https://dj13yv2opnszq.cloudfront.net/videos/am_2525_Open_Meeting_2022_10_06_auto1_1741017122_1Asikw/master.m3u8
2022-09-29,https://www.adminmonitor.com/tx/puct/open_meeting/20220929/,https://dj13yv2opnszq.cloudfront.net/videos/am_2616_Open_Meeting_2022_09_29_auto1_1741007521_vsrZf8/master.m3u8
2022-09-15,https://www.adminmonitor.com/tx/puct/open_meeting/20220915/,https://dj13yv2opnszq.cloudfront.net/videos/am_2593_Open_Meeting_2022_09_15_auto1_1741011904_GmeL7H/master.m3u8
2022-08-25,https://www.adminmonitor.com/tx/puct/open_meeting/20220825/,https://dj13yv2opnszq.cloudfront.net/videos/am_2560_Open_Meeting_2022_08_25_auto1_1741002665_tYhIX8/master.m3u8
2022-08-04,https://www.adminmonitor.com/tx/puct/open_meeting/20220804/,https://dj13yv2opnszq.cloudfront.net/videos/am_2559_Open_Meeting_2022_08_04_auto1_1741000865_s4GQl9/master.m3u8
2022-07-14,https://www.adminmonitor.com/tx/puct/open_meeting/20220714/,https://dj13yv2opnszq.cloudfront.net/videos/am_2558_Open_Meeting_2022_07_14_auto1_1741006321_3KeLvQ/master.m3u8
2022-06-30,https://www.adminmonitor.com/tx/puct/open_meeting/20220630/,https://dj13yv2opnszq.cloudfront.net/videos/am_2494_Open_Meeting_2022_06_30_auto1_1740997263_qAxJG5/master.m3u8
2022-06-16,https://www.adminmonitor.com/tx/puct/open_meeting/20220616/,https://dj13yv2opnszq.cloudfront.net/videos/am_2493_Open_Meeting_2022_06_16_auto1_1740989522_3YLLZp/master.m3u8
2022-05-26,https://www.adminmonitor.com/tx/puct/open_meeting/20220526/,https://dj13yv2opnszq.cloudfront.net/videos/am_2492_Open_Meeting_2022_05_26_auto1_1740991806_fGl7iP/master.m3u8
2022-05-12,https://www.adminmonitor.com/tx/puct/open_meeting/20220512/,https://dj13yv2opnszq.cloudfront.net/videos/am_2491_Open_Meeting_2022_05_12_auto1_1740990065_Vr2xAY/master.m3u8
2022-04-21,https://www.adminmonitor.com/tx/puct/open_meeting/20220421/,https://dj13yv2opnszq.cloudfront.net/videos/am_2445_Open_Meeting_2022_04_21_auto1_1740989462_xg0noP/master.m3u8
2022-03-31,https://www.adminmonitor.com/tx/puct/open_meeting/20220331/,https://dj13yv2opnszq.cloudfront.net/videos/am_2413_Open_Meeting_2022_03_31_auto1_1740984721_iiZ8Ze/master.m3u8
2022-03-10,https://www.adminmonitor.com/tx/puct/open_meeting/20220310/,https://dj13yv2opnszq.cloudfront.net/videos/am_2412_Open_Meeting_2022_03_10_auto1_1740990122_nqQhuf/master.m3u8
2022-02-25,https://www.adminmonitor.com/tx/puct/open_meeting/20220225/,https://dj13yv2opnszq.cloudfront.net/videos/am_2392_Open_Meeting_2022_02_25_auto1_1740975063_kAyjrc/master.m3u8
2022-02-10,https://www.adminmonitor.com/tx/puct/open_meeting/20220210/,https://dj13yv2opnszq.cloudfront.net/videos/am_2386_Open_Meeting_2022_02_10_auto1_1740963061_JIx5Cu/master.m3u8
2022-01-27,https://www.adminmonitor.com/tx/puct/open_meeting/20220127/,https://dj13yv2opnszq.cloudfront.net/videos/am_2356_Open_Meeting_2022_01_27_auto1_1740966602_pHdfIM/master.m3u8
2022-01-13,https://www.adminmonitor.com/tx/puct/open_meeting/20220113/,https://dj13yv2opnszq.cloudfront.net/videos/am_2354_Open_Meeting_2022_01_13_auto1_1740973861_Zt9zYB/master.m3u8
2021-12-16,https://www.adminmonitor.com/tx/puct/open_meeting/20211216/,https://dj13yv2opnszq.cloudfront.net/videos/am_2295_Open_Meeting_2021_12_16_auto1_1740415262_RF10wH/master.m3u8
2021-12-03,https://www.adminmonitor.com/tx/puct/open_meeting/20211203/,https://dj13yv2opnszq.cloudfront.net/videos/am_2348_Open_Meeting_2021_12_03_auto1_1740970862_63rogs/master.m3u8
2021-12-02,https://www.adminmonitor.com/tx/puct/open_meeting/20211202/,https://dj13yv2opnszq.cloudfront.net/videos/am_2294_Open_Meeting_2021_12_02_auto1_1740418862_KVe1D1/master.m3u8
2021-11-18,https://www.adminmonitor.com/tx/puct/open_meeting/20211118/,https://dj13yv2opnszq.cloudfront.net/videos/am_2293_Open_Meeting_2021_11_18_auto1_1740414662_xcCuoi/master.m3u8
2021-10-28,https://www.adminmonitor.com/tx/puct/open_meeting/20211028/,https://dj13yv2opnszq.cloudfront.net/videos/am_2272_Open_Meeting_2021_10_28_auto1_1740416521_T9n0wH/master.m3u8
